pat1,pat2,features (n),similarity
SRI-26391657,SRI-83223481,5,0.022484261306291033
SRI-26391657,SRI-83223481,10,0.01992088095127397
SRI-26391657,SRI-83223481,15,0.022732533444735397
SRI-26391657,SRI-83223481,20,0.026175387754077028
SRI-26391657,SRI-83223481,25,0.02546488595484965
SRI-26391657,SRI-83223481,30,0.024612678178259087
SRI-26391657,SRI-83223481,40,0.027275280152700587
SRI-26391657,SRI-83223481,50,0.030384708305381137
SRI-26391657,SRI-83223481,60,0.03399797800408074
SRI-26391657,SRI-83223481,80,0.03544336847397668
SRI-26391657,SRI-83223481,100,0.05039856449035254
SRI-26391657,SRI-83223481,110,0.05177657630699683
SRI-26391657,SRI-13856294,5,0.02168810424027732
SRI-26391657,SRI-13856294,10,0.016951057120666278
SRI-26391657,SRI-13856294,15,0.015734553076183395
SRI-26391657,SRI-13856294,20,0.01888203524300951
SRI-26391657,SRI-13856294,25,0.019891966154574746
SRI-26391657,SRI-13856294,30,0.022793453920165106
SRI-26391657,SRI-13856294,40,0.02748773417771132
SRI-26391657,SRI-13856294,50,0.03000596365487256
SRI-26391657,SRI-13856294,60,0.034753746141055995
SRI-26391657,SRI-13856294,80,0.041346986158418864
SRI-26391657,SRI-13856294,100,0.04558325593273582
SRI-26391657,SRI-13856294,110,0.04888077322971058
SRI-26391657,SRI-52623367,5,0.024656182752815257
SRI-26391657,SRI-52623367,10,0.019873528610490066
SRI-26391657,SRI-52623367,15,0.01886403766739466
SRI-26391657,SRI-52623367,20,0.019443444144221424
SRI-26391657,SRI-52623367,25,0.019571819185086797
SRI-26391657,SRI-52623367,30,0.01990760044602344
SRI-26391657,SRI-52623367,40,0.021500612887279363
SRI-26391657,SRI-52623367,50,0.02591122836671517
SRI-26391657,SRI-52623367,60,0.028608832428752742
SRI-26391657,SRI-52623367,80,0.03423288386615436
SRI-26391657,SRI-52623367,100,0.03789808021183969
SRI-26391657,SRI-52623367,110,0.04050802344849196
SRI-26391657,SRI-61581684,5,0.021118326340369815
SRI-26391657,SRI-61581684,10,0.017621743047594868
SRI-26391657,SRI-61581684,15,0.023766502286734763
SRI-26391657,SRI-61581684,20,0.024777681750951314
SRI-26391657,SRI-61581684,25,0.026514056129094944
SRI-26391657,SRI-61581684,30,0.027587840328686008
SRI-26391657,SRI-61581684,40,0.029770781416199838
SRI-26391657,SRI-61581684,50,0.03341173360971931
SRI-26391657,SRI-61581684,60,0.039278362575340675
SRI-26391657,SRI-61581684,80,0.04757753620767371
SRI-26391657,SRI-61581684,100,0.056396170437741894
SRI-26391657,SRI-61581684,110,0.06043387920776751
SRI-26391657,SRI-03083799,5,0.022208927012013727
SRI-26391657,SRI-03083799,10,0.018727338511906437
SRI-26391657,SRI-03083799,15,0.01899575247741886
SRI-26391657,SRI-03083799,20,0.018807403593429202
SRI-26391657,SRI-03083799,25,0.019192200242406168
SRI-26391657,SRI-03083799,30,0.019629302648120937
SRI-26391657,SRI-03083799,40,0.020760386318460982
SRI-26391657,SRI-03083799,50,0.02270209265945692
SRI-26391657,SRI-03083799,60,0.027664949017692893
SRI-26391657,SRI-03083799,80,0.034007025944905324
SRI-26391657,SRI-03083799,100,0.03803246160577691
SRI-26391657,SRI-03083799,110,0.042398660220661785
SRI-26391657,SRI-47551686,5,0.01980879046062388
SRI-26391657,SRI-47551686,10,0.019703916406001075
SRI-26391657,SRI-47551686,15,0.020235632346436567
SRI-26391657,SRI-47551686,20,0.02126760552294398
