pat1,pat2,features (n),distance,,,,,
P76,P76,20,0,,,,,
P76,P76,25,0,,,,,
P76,P76,30,0,,,,,
P76,P76,40,0,,,,,
P76,P76,50,0,,,,,
P76,P76,60,0,,,,,
P76,P76,80,0,,,,,
P76,P76,100,0,,,,,
P76,P76,110,0,,,,,
P76,P95,5,0.02154306,,,,,
P76,P95,10,0.02290261,,,,,
P76,P95,15,0.02676961,,,,,
P76,P95,20,0.026963851,,,,,
P76,P95,25,0.029943613,,,,,
P76,P95,30,0.030938547,,,,,
P76,P95,40,0.031881615,,,,,
P76,P95,50,0.034923226,,,,,
P76,P95,60,0.040382076,,,,,
P76,P95,80,0.049204138,,,,,
P76,P95,100,0.056672166,,,,,
P76,P95,110,0.059921711,,,,,
P76,P27,5,0.011611302,,,,,
P76,P27,10,0.013337627,,,,,
P76,P27,15,0.013749921,,,,,
P76,P27,20,0.017408544,,,,,
P76,P27,25,0.017596201,,,,,
P76,P27,30,0.01719978,,,,,
P76,P27,40,0.021434171,,,,,
P76,P27,50,0.026941491,,,,,
P76,P27,60,0.02993458,,,,,
P76,P27,80,0.035284597,,,,,
P76,P27,100,0.042784239,,,,,
P76,P27,110,0.0486997,,,,,
P76,P32,5,0.02023595,,,,,
P76,P32,10,0.027351012,,,,,
P76,P32,15,0.028480371,,,,,
P76,P32,20,0.029527347,,,,,
P76,P32,25,0.031471145,,,,,
P76,P32,30,0.031630053,,,,,
P76,P32,40,0.034214429,,,,,
P76,P32,50,0.040597387,,,,,
P76,P32,60,0.044800682,,,,,
P76,P32,80,0.053325091,,,,,
P76,P32,100,0.056774687,,,,,
P76,P32,110,0.062205273,,,,,
P76,P39,5,0.012922599,,,,,
P76,P39,10,0.011149295,,,,,
P76,P39,15,0.012382104,,,,,
P76,P39,20,0.012318235,,,,,
P76,P39,25,0.013789657,,,,,
P76,P39,30,0.012947779,,,,,
P76,P39,40,0.017513743,,,,,
P76,P39,50,0.021211706,,,,,
P76,P39,60,0.025430904,,,,,
P76,P39,80,0.033678077,,,,,
P76,P39,100,0.038975649,,,,,
P76,P39,110,0.041037549,,,,,
P76,P58,5,0.016918116,,,,,
P76,P58,10,0.017602112,,,,,
P76,P58,15,0.017045888,,,,,
P76,P58,20,0.016648047,,,,,
P76,P58,25,0.017582856,,,,,
P76,P58,30,0.018252226,,,,,
P76,P58,40,0.022291663,,,,,
P76,P58,50,0.025308486,,,,,
P76,P58,60,0.029880345,,,,,
P76,P58,80,0.03405689,,,,,
P76,P58,100,0.038797594,,,,,
P76,P58,110,0.042279894,,,,,
P76,P59,5,0.014670421,,,,,
P76,P59,10,0.022395183,,,,,
P76,P59,15,0.027847024,,,,,
P76,P59,20,0.028664684,,,,,
P76,P59,25,0.0321958,,,,,
P76,P59,30,0.031396212,,,,,
P76,P59,40,0.035270882,,,,,
P76,P59,50,0.038091798,,,,,
P76,P59,60,0.04096216,,,,,
P76,P59,80,0.043479885,,,,,
P76,P59,100,0.047908452,,,,,
P76,P59,110,0.054482961,,,,,
P76,P62,5,0.005989528,,,,,
P76,P62,10,0.012567403,,,,,
P76,P62,15,0.015445917,,,,,
P76,P62,20,0.018505344,,,,,
P76,P62,25,0.018436946,,,,,
P76,P62,30,0.017638205,,,,,
P76,P62,40,0.025407252,,,,,
P76,P62,50,0.030011672,,,,,
P76,P62,60,0.035617577,,,,,
P76,P62,80,0.048310414,,,,,
P76,P62,100,0.053654165,,,,,
P76,P62,110,0.0578817,,,,,
P76,P67,5,0.012458252,,,,,
P76,P67,10,0.016023466,,,,,
P76,P67,15,0.021477628,,,,,
P76,P67,20,0.022776963,,,,,
P76,P67,25,0.022365458,,,,,
P76,P67,30,0.023882127,,,,,
P76,P67,40,0.024732532,,,,,
P76,P67,50,0.032142704,,,,,
P76,P67,60,0.037169522,,,,,
P76,P67,80,0.043116059,,,,,
P76,P67,100,0.054744361,,,,,
P76,P67,110,0.059760835,,,,,
P76,P68,5,0.018884887,,,,,
P76,P68,10,0.01993958,,,,,
P76,P68,15,0.020112272,,,,,
P76,P68,20,0.021450624,,,,,
P76,P68,25,0.023454057,,,,,
P76,P68,30,0.025808165,,,,,
P76,P68,40,0.030997942,,,,,
P76,P68,50,0.034310228,,,,,
P76,P68,60,0.036789626,,,,,
P76,P68,80,0.042961488,,,,,
P76,P68,100,0.045968564,,,,,
P76,P68,110,0.049299504,,,,,
P76,P71,5,0.016958985,,,,,
P76,P71,10,0.017926004,,,,,
P76,P71,15,0.020811871,,,,,
P76,P71,20,0.021049235,,,,,
P76,P71,25,0.02139717,,,,,
P76,P71,30,0.021902244,,,,,
P76,P71,40,0.024967526,,,,,
P76,P71,50,0.027334445,,,,,
P76,P71,60,0.030208983,,,,,
P76,P71,80,0.041188114,,,,,
P76,P71,100,0.048070406,,,,,
P76,P71,110,0.051597574,,,,,
P76,P82,5,0.013232253,,,,,
P76,P82,10,0.014285122,,,,,
P76,P82,15,0.016971942,,,,,
P76,P82,20,0.017816559,,,,,
P76,P82,25,0.020162621,,,,,
P76,P82,30,0.020074539,,,,,
P76,P82,40,0.023407241,,,,,
P76,P82,50,0.026181951,,,,,
P76,P82,60,0.031437907,,,,,
P76,P82,80,0.039494587,,,,,
P76,P82,100,0.043427964,,,,,
P76,P82,110,0.047429227,,,,,
P76,P88,5,0.015762415,,,,,
P76,P88,10,0.019580989,,,,,
P76,P88,15,0.022361384,,,,,
P76,P88,20,0.019864662,,,,,
P76,P88,25,0.021227567,,,,,
P76,P88,30,0.021319833,,,,,
P76,P88,40,0.023579383,,,,,
P76,P88,50,0.026536554,,,,,
P76,P88,60,0.031866183,,,,,
P76,P88,80,0.04433738,,,,,
P76,P88,100,0.049608591,,,,,
P76,P88,110,0.056744133,,,,,
P76,P92,5,0.015075726,,,,,
P76,P92,10,0.019362525,,,,,
P76,P92,15,0.022681059,,,,,
P76,P92,20,0.024155792,,,,,
P76,P92,25,0.02608007,,,,,
P76,P92,30,0.024469261,,,,,
P76,P92,40,0.027296967,,,,,
P76,P92,50,0.028750089,,,,,
P76,P92,60,0.031320549,,,,,
P76,P92,80,0.040731916,,,,,
P76,P92,100,0.047102113,,,,,
P76,P92,110,0.050678496,,,,,
P95,P1,5,0.030057705,,,,,
P95,P1,10,0.046195604,,,,,
P95,P1,15,0.048447296,,,,,
P95,P1,20,0.054742701,,,,,
P95,P1,25,0.055107193,,,,,
P95,P1,30,0.063166679,,,,,
P95,P1,40,0.072157251,,,,,
P95,P1,50,0.077071214,,,,,
P95,P1,60,0.080103385,,,,,
P95,P1,80,0.081171449,,,,,
P95,P1,100,0.078295721,,,,,
P95,P1,110,0.090113946,,,,,
P95,P19,5,0.01972723,,,,,
P95,P19,10,0.015816663,,,,,
P95,P19,15,0.018284349,,,,,
P95,P19,20,0.01887983,,,,,
P95,P19,25,0.019621756,,,,,
P95,P19,30,0.020296507,,,,,
P95,P19,40,0.022066485,,,,,
P95,P19,50,0.027733663,,,,,
P95,P19,60,0.032974441,,,,,
P95,P19,80,0.037155918,,,,,
P95,P19,100,0.046387531,,,,,
P95,P19,110,0.046889143,,,,,
P95,P24,5,0.018912575,,,,,
P95,P24,10,0.01903139,,,,,
P95,P24,15,0.021928399,,,,,
P95,P24,20,0.023544416,,,,,
P95,P24,25,0.024635549,,,,,
P95,P24,30,0.025594699,,,,,
P95,P24,40,0.029255109,,,,,
P95,P24,50,0.031925445,,,,,
P95,P24,60,0.034727127,,,,,
P95,P24,80,0.038285574,,,,,
P95,P24,100,0.043719245,,,,,
P95,P24,110,0.047106378,,,,,
P95,P26,5,0.017201932,,,,,
P95,P26,10,0.017482745,,,,,
P95,P26,15,0.021564932,,,,,
P95,P26,20,0.02077397,,,,,
P95,P26,25,0.022622307,,,,,
P95,P26,30,0.022516497,,,,,
P95,P26,40,0.023767744,,,,,
P95,P26,50,0.031845537,,,,,
P95,P26,60,0.036704628,,,,,
P95,P26,80,0.044905855,,,,,
P95,P26,100,0.054251874,,,,,
P95,P26,110,0.058494767,,,,,
P95,P51,5,0.007730082,,,,,
P95,P51,10,0.022918705,,,,,
P95,P51,15,0.030950889,,,,,
P95,P51,20,0.037539869,,,,,
P95,P51,25,0.034962329,,,,,
P95,P51,30,0.036151734,,,,,
P95,P51,40,0.038016074,,,,,
P95,P51,50,0.04087932,,,,,
P95,P51,60,0.045082181,,,,,
P95,P51,80,0.05134287,,,,,
P95,P51,100,0.054775971,,,,,
P95,P51,110,0.059276874,,,,,
P95,P56,5,0.025586937,,,,,
P95,P56,10,0.026402609,,,,,
P95,P56,15,0.027708988,,,,,
P95,P56,20,0.027694648,,,,,
P95,P56,25,0.029155441,,,,,
P95,P56,30,0.029435626,,,,,
P95,P56,40,0.028416691,,,,,
P95,P56,50,0.029434168,,,,,
P95,P56,60,0.033955957,,,,,
P95,P56,80,0.038810496,,,,,
P95,P56,100,0.043065868,,,,,
P95,P56,110,0.0453999,,,,,
P95,P61,5,0.015066265,,,,,
P95,P61,10,0.01516638,,,,,
P95,P61,15,0.017253237,,,,,
P95,P61,20,0.020404703,,,,,
P95,P61,25,0.021342756,,,,,
P95,P61,30,0.022918078,,,,,
P95,P61,40,0.024517636,,,,,
P95,P61,50,0.029068,,,,,
P95,P61,60,0.033331872,,,,,
P95,P61,80,0.036984399,,,,,
P95,P61,100,0.042212604,,,,,
P95,P61,110,0.044498515,,,,,
P95,P66,5,0.02341829,,,,,
P95,P66,10,0.019959158,,,,,
P95,P66,15,0.019284293,,,,,
P95,P66,20,0.025671231,,,,,
P95,P66,25,0.026808219,,,,,
P95,P66,30,0.027011668,,,,,
P95,P66,40,0.028790585,,,,,
P95,P66,50,0.032305204,,,,,
P95,P66,60,0.036963324,,,,,
P95,P66,80,0.05117802,,,,,
P95,P66,100,0.059731496,,,,,
P95,P66,110,0.063542555,,,,,
P95,P76,5,0.02154306,,,,,
P95,P76,10,0.02290261,,,,,
P95,P76,15,0.02676961,,,,,
P95,P76,20,0.026963851,,,,,
P95,P76,25,0.029943613,,,,,
P95,P76,30,0.030938547,,,,,
P95,P76,40,0.031881615,,,,,
P95,P76,50,0.034923226,,,,,
P95,P76,60,0.040382076,,,,,
P95,P76,80,0.049204138,,,,,
P95,P76,100,0.056672166,,,,,
P95,P76,110,0.059921711,,,,,
P95,P95,5,0,,,,,
P95,P95,10,0,,,,,
P95,P95,15,0,,,,,
P95,P95,20,0,,,,,
P95,P95,25,0,,,,,
P95,P95,30,0,,,,,
P95,P95,40,0,,,,,
P95,P95,50,0,,,,,
P95,P95,60,0,,,,,
P95,P95,80,0,,,,,
P95,P95,100,0,,,,,
P95,P95,110,0,,,,,
P95,P27,5,0.021044473,,,,,
P95,P27,10,0.02247512,,,,,
P95,P27,15,0.024546632,,,,,
P95,P27,20,0.022786217,,,,,
P95,P27,25,0.025394603,,,,,
P95,P27,30,0.025848601,,,,,
P95,P27,40,0.030972693,,,,,
P95,P27,50,0.037359518,,,,,
P95,P27,60,0.041598823,,,,,
P95,P27,80,0.043602984,,,,,
P95,P27,100,0.04625969,,,,,
P95,P27,110,0.053742047,,,,,
P95,P32,5,0.007832874,,,,,
P95,P32,10,0.010462532,,,,,
P95,P32,15,0.011052345,,,,,
P95,P32,20,0.012577402,,,,,
P95,P32,25,0.015834312,,,,,
P95,P32,30,0.017224038,,,,,
P95,P32,40,0.021596708,,,,,
P95,P32,50,0.03030083,,,,,
P95,P32,60,0.035042212,,,,,
P95,P32,80,0.037406305,,,,,
P95,P32,100,0.038780109,,,,,
P95,P32,110,0.04326087,,,,,
P95,P39,5,0.027530602,,,,,
P95,P39,10,0.025997822,,,,,
P95,P39,15,0.025895679,,,,,
P95,P39,20,0.026714693,,,,,
P95,P39,25,0.031452381,,,,,
P95,P39,30,0.031991105,,,,,
P95,P39,40,0.031420816,,,,,
P95,P39,50,0.034775744,,,,,
P95,P39,60,0.03826491,,,,,
P95,P39,80,0.043855802,,,,,
P95,P39,100,0.053398809,,,,,
P95,P39,110,0.056089283,,,,,
P95,P58,5,0.015057197,,,,,
P95,P58,10,0.014655397,,,,,
P95,P58,15,0.017984285,,,,,
P95,P58,20,0.017410877,,,,,
P95,P58,25,0.01890683,,,,,
P95,P58,30,0.01901114,,,,,
P95,P58,40,0.021052871,,,,,
P95,P58,50,0.025490977,,,,,
P95,P58,60,0.030600922,,,,,
P95,P58,80,0.037477127,,,,,
P95,P58,100,0.044178509,,,,,
P95,P58,110,0.046862154,,,,,
P95,P59,5,0.014737157,,,,,
P95,P59,10,0.017517274,,,,,
P95,P59,15,0.018055963,,,,,
P95,P59,20,0.019871483,,,,,
P95,P59,25,0.019964103,,,,,
P95,P59,30,0.021175651,,,,,
P95,P59,40,0.02449818,,,,,
P95,P59,50,0.028368567,,,,,
P95,P59,60,0.034480722,,,,,
P95,P59,80,0.041874913,,,,,
P95,P59,100,0.045083915,,,,,
P95,P59,110,0.048345331,,,,,
P95,P62,5,0.019653998,,,,,
P95,P62,10,0.023896047,,,,,
P95,P62,15,0.028364325,,,,,
P95,P62,20,0.028908108,,,,,
P95,P62,25,0.03110394,,,,,
P95,P62,30,0.031772537,,,,,
P95,P62,40,0.035404858,,,,,
P95,P62,50,0.040825503,,,,,
P95,P62,60,0.045238834,,,,,
P95,P62,80,0.056250367,,,,,
P95,P62,100,0.064150183,,,,,
P95,P62,110,0.065441878,,,,,
P95,P67,5,0.012063456,,,,,
P95,P67,10,0.018795748,,,,,
P95,P67,15,0.025348818,,,,,
P95,P67,20,0.031110682,,,,,
P95,P67,25,0.03258277,,,,,
P95,P67,30,0.033988889,,,,,
P95,P67,40,0.035853341,,,,,
P95,P67,50,0.042534347,,,,,
P95,P67,60,0.047549895,,,,,
P95,P67,80,0.050528476,,,,,
P95,P67,100,0.060097825,,,,,
P95,P67,110,0.061257486,,,,,
P95,P68,5,0.020019271,,,,,
P95,P68,10,0.014821709,,,,,
P95,P68,15,0.015755938,,,,,
P95,P68,20,0.018448574,,,,,
P95,P68,25,0.018908428,,,,,
P95,P68,30,0.023793118,,,,,
P95,P68,40,0.028313997,,,,,
P95,P68,50,0.029595411,,,,,
P95,P68,60,0.035171699,,,,,
P95,P68,80,0.046762571,,,,,
P95,P68,100,0.058899068,,,,,
P95,P68,110,0.06355246,,,,,
P95,P71,5,0.021916682,,,,,
P95,P71,10,0.017578432,,,,,
P95,P71,15,0.018961975,,,,,
P95,P71,20,0.01667783,,,,,
P95,P71,25,0.018306079,,,,,
P95,P71,30,0.018493061,,,,,
P95,P71,40,0.021239745,,,,,
P95,P71,50,0.024431296,,,,,
P95,P71,60,0.026117502,,,,,
P95,P71,80,0.031261076,,,,,
P95,P71,100,0.041252956,,,,,
P95,P71,110,0.046028495,,,,,
P95,P82,5,0.012608032,,,,,
P95,P82,10,0.015554561,,,,,
P95,P82,15,0.020053734,,,,,
P95,P82,20,0.019178132,,,,,
P95,P82,25,0.021365069,,,,,
P95,P82,30,0.023046321,,,,,
P95,P82,40,0.02901039,,,,,
P95,P82,50,0.033726441,,,,,
P95,P82,60,0.037236449,,,,,
P95,P82,80,0.048178328,,,,,
P95,P82,100,0.058144726,,,,,
P95,P82,110,0.064215794,,,,,
P95,P88,5,0.009330625,,,,,
P95,P88,10,0.011645501,,,,,
P95,P88,15,0.015305815,,,,,
P95,P88,20,0.017954347,,,,,
P95,P88,25,0.019579706,,,,,
P95,P88,30,0.021845283,,,,,
P95,P88,40,0.024458824,,,,,
P95,P88,50,0.030267341,,,,,
P95,P88,60,0.032819823,,,,,
P95,P88,80,0.03739858,,,,,
P95,P88,100,0.043770579,,,,,
P95,P88,110,0.047823625,,,,,
P95,P92,5,0.026040896,,,,,
P95,P92,10,0.021739898,,,,,
P95,P92,15,0.020915931,,,,,
P95,P92,20,0.01957005,,,,,
P95,P92,25,0.018982342,,,,,
P95,P92,30,0.019706661,,,,,
P95,P92,40,0.022406257,,,,,
P95,P92,50,0.026452213,,,,,
P95,P92,60,0.028888116,,,,,
P95,P92,80,0.040648652,,,,,
P95,P92,100,0.050720863,,,,,
P95,P92,110,0.054349653,,,,,
P27,P1,5,0.045300672,,,,,
P27,P1,10,0.064740616,,,,,
P27,P1,15,0.0662246,,,,,
P27,P1,20,0.069586034,,,,,
P27,P1,25,0.073885266,,,,,
P27,P1,30,0.081067805,,,,,
P27,P1,40,0.087859884,,,,,
P27,P1,50,0.094788068,,,,,
P27,P1,60,0.094527914,,,,,
P27,P1,80,0.090473147,,,,,
P27,P1,100,0.086854444,,,,,
P27,P1,110,0.100000672,,,,,
P27,P19,5,0.029075656,,,,,
P27,P19,10,0.024986787,,,,,
P27,P19,15,0.026084571,,,,,
P27,P19,20,0.025295402,,,,,
P27,P19,25,0.025632602,,,,,
P27,P19,30,0.024923673,,,,,
P27,P19,40,0.028821125,,,,,
P27,P19,50,0.031602425,,,,,
P27,P19,60,0.032342549,,,,,
P27,P19,80,0.034164007,,,,,
P27,P19,100,0.046222344,,,,,
P27,P19,110,0.053240937,,,,,
P27,P24,5,0.015194084,,,,,
P27,P24,10,0.015758785,,,,,
P27,P24,15,0.016396209,,,,,
P27,P24,20,0.01804248,,,,,
P27,P24,25,0.01903969,,,,,
P27,P24,30,0.020000674,,,,,
P27,P24,40,0.025335648,,,,,
P27,P24,50,0.032068808,,,,,
P27,P24,60,0.032518207,,,,,
P27,P24,80,0.035484607,,,,,
P27,P24,100,0.038288226,,,,,
P27,P24,110,0.043819268,,,,,
P27,P26,5,0.016027553,,,,,
P27,P26,10,0.014596949,,,,,
P27,P26,15,0.011995637,,,,,
P27,P26,20,0.013502949,,,,,
P27,P26,25,0.01394159,,,,,
P27,P26,30,0.015226411,,,,,
P27,P26,40,0.02136377,,,,,
P27,P26,50,0.027652486,,,,,
P27,P26,60,0.032009343,,,,,
P27,P26,80,0.037792658,,,,,
P27,P26,100,0.044056721,,,,,
P27,P26,110,0.048928038,,,,,
P27,P51,5,0.020442016,,,,,
P27,P51,10,0.033678952,,,,,
P27,P51,15,0.036302827,,,,,
P27,P51,20,0.040040434,,,,,
P27,P51,25,0.039144821,,,,,
P27,P51,30,0.040232938,,,,,
P27,P51,40,0.041118433,,,,,
P27,P51,50,0.046366254,,,,,
P27,P51,60,0.04865419,,,,,
P27,P51,80,0.051940586,,,,,
P27,P51,100,0.056685006,,,,,
P27,P51,110,0.066375275,,,,,
P27,P56,5,0.008576243,,,,,
P27,P56,10,0.013226126,,,,,
P27,P56,15,0.013353453,,,,,
P27,P56,20,0.015409466,,,,,
P27,P56,25,0.016166787,,,,,
P27,P56,30,0.015910642,,,,,
P27,P56,40,0.020516076,,,,,
P27,P56,50,0.026771366,,,,,
P27,P56,60,0.029993675,,,,,
P27,P56,80,0.033779839,,,,,
P27,P56,100,0.041743105,,,,,
P27,P56,110,0.052105558,,,,,
P27,P61,5,0.023527804,,,,,
P27,P61,10,0.027536121,,,,,
P27,P61,15,0.029099548,,,,,
P27,P61,20,0.029848373,,,,,
P27,P61,25,0.031603376,,,,,
P27,P61,30,0.032472561,,,,,
P27,P61,40,0.038602249,,,,,
P27,P61,50,0.04263637,,,,,
P27,P61,60,0.045467481,,,,,
P27,P61,80,0.048420453,,,,,
P27,P61,100,0.052032188,,,,,
P27,P61,110,0.054308663,,,,,
P27,P66,5,0.021837621,,,,,
P27,P66,10,0.026734826,,,,,
P27,P66,15,0.028946996,,,,,
P27,P66,20,0.03154196,,,,,
P27,P66,25,0.032812725,,,,,
P27,P66,30,0.034321325,,,,,
P27,P66,40,0.040359999,,,,,
P27,P66,50,0.045355352,,,,,
P27,P66,60,0.049205996,,,,,
P27,P66,80,0.061912443,,,,,
P27,P66,100,0.068351249,,,,,
P27,P66,110,0.07698452,,,,,
P27,P76,5,0.011611302,,,,,
P27,P76,10,0.013337627,,,,,
P27,P76,15,0.013749921,,,,,
P27,P76,20,0.017408544,,,,,
P27,P76,25,0.017596201,,,,,
P27,P76,30,0.01719978,,,,,
P27,P76,40,0.021434171,,,,,
P27,P76,50,0.026941491,,,,,
P27,P76,60,0.02993458,,,,,
P27,P76,80,0.035284597,,,,,
P27,P76,100,0.042784239,,,,,
P27,P76,110,0.0486997,,,,,
P27,P95,5,0.021044473,,,,,
P27,P95,10,0.02247512,,,,,
P27,P95,15,0.024546632,,,,,
P27,P95,20,0.022786217,,,,,
P27,P95,25,0.025394603,,,,,
P27,P95,30,0.025848601,,,,,
P27,P95,40,0.030972693,,,,,
P27,P95,50,0.037359518,,,,,
P27,P95,60,0.041598823,,,,,
P27,P95,80,0.043602984,,,,,
P27,P95,100,0.04625969,,,,,
P27,P95,110,0.053742047,,,,,
P27,P27,5,0,,,,,
P27,P27,10,0,,,,,
P27,P27,15,0,,,,,
P27,P27,20,0,,,,,
P27,P27,25,0,,,,,
P27,P27,30,0,,,,,
P27,P27,40,0,,,,,
P27,P27,50,0,,,,,
P27,P27,60,0,,,,,
P27,P27,80,0,,,,,
P27,P27,100,0,,,,,
P27,P27,110,0,,,,,
P27,P32,5,0.019317887,,,,,
P27,P32,10,0.024504517,,,,,
P27,P32,15,0.023253823,,,,,
P27,P32,20,0.019733245,,,,,
P27,P32,25,0.021381337,,,,,
P27,P32,30,0.02137493,,,,,
P27,P32,40,0.025619779,,,,,
P27,P32,50,0.029252561,,,,,
P27,P32,60,0.030908502,,,,,
P27,P32,80,0.037457691,,,,,
P27,P32,100,0.038634292,,,,,
P27,P32,110,0.042314332,,,,,
P27,P39,5,0.008007287,,,,,
P27,P39,10,0.010216591,,,,,
P27,P39,15,0.011766558,,,,,
P27,P39,20,0.01481536,,,,,
P27,P39,25,0.018328334,,,,,
P27,P39,30,0.017706755,,,,,
P27,P39,40,0.023680234,,,,,
P27,P39,50,0.028641183,,,,,
P27,P39,60,0.032268642,,,,,
P27,P39,80,0.035816036,,,,,
P27,P39,100,0.040774672,,,,,
P27,P39,110,0.044516047,,,,,
P27,P58,5,0.019312561,,,,,
P27,P58,10,0.019755085,,,,,
P27,P58,15,0.019483616,,,,,
P27,P58,20,0.018221637,,,,,
P27,P58,25,0.017382272,,,,,
P27,P58,30,0.017693661,,,,,
P27,P58,40,0.020081973,,,,,
P27,P58,50,0.025387905,,,,,
P27,P58,60,0.02670958,,,,,
P27,P58,80,0.031733961,,,,,
P27,P58,100,0.039399451,,,,,
P27,P58,110,0.043378207,,,,,
P27,P59,5,0.017986802,,,,,
P27,P59,10,0.0295068,,,,,
P27,P59,15,0.029243069,,,,,
P27,P59,20,0.029491042,,,,,
P27,P59,25,0.031804884,,,,,
P27,P59,30,0.031407498,,,,,
P27,P59,40,0.031904866,,,,,
P27,P59,50,0.037205973,,,,,
P27,P59,60,0.037896955,,,,,
P27,P59,80,0.042401453,,,,,
P27,P59,100,0.048992919,,,,,
P27,P59,110,0.055046669,,,,,
P27,P62,5,0.009079514,,,,,
P27,P62,10,0.00953478,,,,,
P27,P62,15,0.01264764,,,,,
P27,P62,20,0.015703165,,,,,
P27,P62,25,0.016370394,,,,,
P27,P62,30,0.015632238,,,,,
P27,P62,40,0.02112313,,,,,
P27,P62,50,0.024010324,,,,,
P27,P62,60,0.029446769,,,,,
P27,P62,80,0.03812626,,,,,
P27,P62,100,0.045269774,,,,,
P27,P62,110,0.051999237,,,,,
P27,P67,5,0.011783782,,,,,
P27,P67,10,0.01894179,,,,,
P27,P67,15,0.02272221,,,,,
P27,P67,20,0.027596005,,,,,
P27,P67,25,0.026005186,,,,,
P27,P67,30,0.027108783,,,,,
P27,P67,40,0.029357511,,,,,
P27,P67,50,0.033402692,,,,,
P27,P67,60,0.036382843,,,,,
P27,P67,80,0.038418988,,,,,
P27,P67,100,0.047854938,,,,,
P27,P67,110,0.056051327,,,,,
P27,P68,5,0.026967328,,,,,
P27,P68,10,0.025352277,,,,,
P27,P68,15,0.024503518,,,,,
P27,P68,20,0.02359274,,,,,
P27,P68,25,0.024294318,,,,,
P27,P68,30,0.028210839,,,,,
P27,P68,40,0.032034858,,,,,
P27,P68,50,0.035692482,,,,,
P27,P68,60,0.039563748,,,,,
P27,P68,80,0.048311701,,,,,
P27,P68,100,0.058733245,,,,,
P27,P68,110,0.062278503,,,,,
P27,P71,5,0.01970324,,,,,
P27,P71,10,0.019342115,,,,,
P27,P71,15,0.020950218,,,,,
P27,P71,20,0.020032941,,,,,
P27,P71,25,0.019704077,,,,,
P27,P71,30,0.019922571,,,,,
P27,P71,40,0.021752587,,,,,
P27,P71,50,0.026492284,,,,,
P27,P71,60,0.028682271,,,,,
P27,P71,80,0.034092401,,,,,
P27,P71,100,0.046210103,,,,,
P27,P71,110,0.050514004,,,,,
P27,P82,5,0.017543954,,,,,
P27,P82,10,0.020492735,,,,,
P27,P82,15,0.017577226,,,,,
P27,P82,20,0.017255492,,,,,
P27,P82,25,0.016326938,,,,,
P27,P82,30,0.017297983,,,,,
P27,P82,40,0.020370888,,,,,
P27,P82,50,0.025281756,,,,,
P27,P82,60,0.02819998,,,,,
P27,P82,80,0.033718909,,,,,
P27,P82,100,0.040374556,,,,,
P27,P82,110,0.045142001,,,,,
P27,P88,5,0.014849415,,,,,
P27,P88,10,0.022853705,,,,,
P27,P88,15,0.02214769,,,,,
P27,P88,20,0.022572145,,,,,
P27,P88,25,0.024165488,,,,,
P27,P88,30,0.023692671,,,,,
P27,P88,40,0.025990354,,,,,
P27,P88,50,0.029394077,,,,,
P27,P88,60,0.033528195,,,,,
P27,P88,80,0.039123929,,,,,
P27,P88,100,0.047041134,,,,,
P27,P88,110,0.050821391,,,,,
P27,P92,5,0.023332684,,,,,
P27,P92,10,0.025728352,,,,,
P27,P92,15,0.023677351,,,,,
P27,P92,20,0.02284239,,,,,
P27,P92,25,0.023871667,,,,,
P27,P92,30,0.023260603,,,,,
P27,P92,40,0.027179815,,,,,
P27,P92,50,0.030513067,,,,,
P27,P92,60,0.032011895,,,,,
P27,P92,80,0.039656007,,,,,
P27,P92,100,0.050254164,,,,,
P27,P92,110,0.051813226,,,,,
P32,P1,5,0.035615749,,,,,
P32,P1,10,0.050242456,,,,,
P32,P1,15,0.05021871,,,,,
P32,P1,20,0.057279488,,,,,
P32,P1,25,0.062442514,,,,,
P32,P1,30,0.071416431,,,,,
P32,P1,40,0.080408984,,,,,
P32,P1,50,0.090322217,,,,,
P32,P1,60,0.090663387,,,,,
P32,P1,80,0.09377934,,,,,
P32,P1,100,0.088029499,,,,,
P32,P1,110,0.100013668,,,,,
P32,P19,5,0.026476866,,,,,
P32,P19,10,0.024445027,,,,,
P32,P19,15,0.022805292,,,,,
P32,P19,20,0.022936071,,,,,
P32,P19,25,0.024620208,,,,,
P32,P19,30,0.024947507,,,,,
P32,P19,40,0.026603861,,,,,
P32,P19,50,0.032544805,,,,,
P32,P19,60,0.032869837,,,,,
P32,P19,80,0.038211791,,,,,
P32,P19,100,0.045472847,,,,,
P32,P19,110,0.049798118,,,,,
P32,P24,5,0.014977115,,,,,
P32,P24,10,0.020085331,,,,,
P32,P24,15,0.019770676,,,,,
P32,P24,20,0.020816671,,,,,
P32,P24,25,0.022359007,,,,,
P32,P24,30,0.020601055,,,,,
P32,P24,40,0.025601952,,,,,
P32,P24,50,0.032625147,,,,,
P32,P24,60,0.035677759,,,,,
P32,P24,80,0.038776176,,,,,
P32,P24,100,0.042042853,,,,,
P32,P24,110,0.044400509,,,,,
P32,P26,5,0.015736701,,,,,
P32,P26,10,0.020533544,,,,,
P32,P26,15,0.021011485,,,,,
P32,P26,20,0.021161897,,,,,
P32,P26,25,0.024640495,,,,,
P32,P26,30,0.026927487,,,,,
P32,P26,40,0.030694754,,,,,
P32,P26,50,0.036218725,,,,,
P32,P26,60,0.037257182,,,,,
P32,P26,80,0.047614494,,,,,
P32,P26,100,0.05314475,,,,,
P32,P26,110,0.058903594,,,,,
P32,P51,5,0.011675574,,,,,
