pat1,pat2,features (n),distance,,,,,
P19,P26,50,0.031807074,,,,,
P19,P26,60,0.035673785,,,,,
P19,P26,80,0.038662688,,,,,
P19,P26,100,0.048137666,,,,,
P19,P26,110,0.052302918,,,,,
P19,P51,5,0.017167536,,,,,
P19,P51,10,0.023855698,,,,,
P19,P51,15,0.028103107,,,,,
P19,P51,20,0.032963224,,,,,
P19,P51,25,0.031798043,,,,,
P19,P51,30,0.031430258,,,,,
P19,P51,40,0.033808452,,,,,
P19,P51,50,0.037098044,,,,,
P19,P51,60,0.039935046,,,,,
P19,P51,80,0.046523746,,,,,
P19,P51,100,0.060856715,,,,,
P19,P51,110,0.067730603,,,,,
P19,P56,5,0.0214627,,,,,
P19,P56,10,0.022456728,,,,,
P19,P56,15,0.02217464,,,,,
P19,P56,20,0.023020908,,,,,
P19,P56,25,0.022575323,,,,,
P19,P56,30,0.02185363,,,,,
P19,P56,40,0.02217941,,,,,
P19,P56,50,0.026695199,,,,,
P19,P56,60,0.029849554,,,,,
P19,P56,80,0.035009774,,,,,
P19,P56,100,0.043555771,,,,,
P19,P56,110,0.049540791,,,,,
P19,P61,5,0.017566544,,,,,
P19,P61,10,0.017356876,,,,,
P19,P61,15,0.018892382,,,,,
P19,P61,20,0.019423981,,,,,
P19,P61,25,0.019424244,,,,,
P19,P61,30,0.019767207,,,,,
P19,P61,40,0.023405995,,,,,
P19,P61,50,0.027188805,,,,,
P19,P61,60,0.030779457,,,,,
P19,P61,80,0.033486638,,,,,
P19,P61,100,0.037998486,,,,,
P19,P61,110,0.041003274,,,,,
P19,P66,5,0.022750812,,,,,
P19,P66,10,0.022589007,,,,,
P19,P66,15,0.021265519,,,,,
P19,P66,20,0.025538898,,,,,
P19,P66,25,0.024438586,,,,,
P19,P66,30,0.02395137,,,,,
P19,P66,40,0.024803422,,,,,
P19,P66,50,0.030866897,,,,,
P19,P66,60,0.035898429,,,,,
P19,P66,80,0.047844193,,,,,
P19,P66,100,0.05283201,,,,,
P19,P66,110,0.058815042,,,,,
P19,P76,5,0.021349832,,,,,
P19,P76,10,0.021207109,,,,,
P19,P76,15,0.022701276,,,,,
